Id,country,region,city,postalCode,latitude,longitude,metroCode,areaCode
2058,IN,19,Guledgudd,,16.05,75.8,,
2059,IN,16,Palus,,17.0833,74.4667,,
2060,IN,16,Umbraj,,17.4,74.1167,,
2061,IN,25,Pattukkottai,,10.4333,79.3167,,
2062,IN,10,Radaur,,30.0333,77.15,,
2063,IN,38,Sindri,,22.8,85.9833,,
2064,IN,13,Kalikavu,,11.1667,76.3333,,
2065,IN,16,Kopar,,18.7111,72.9608,,
2066,IN,11,Bharmar,,32.1833,75.95,,
2067,IN,2,Pedda Bashirabad,,17.5139,78.4828,,
2068,IN,16,Manori,,19.2,72.7833,,
2069,IN,11,Junga,,31.0167,77.1833,,
2070,IN,23,Makandpur,,30.5958,76.6328,,
2071,IN,2,Pipalpahad,,17.2231,78.8492,,
2072,IN,33,Arpora,,15.5667,73.7667,,
2073,IN,6,Dadra,,20.3167,72.9667,,
2074,IN,25,Kovai,,10.9925,76.9614,,
2075,IN,38,Barakar,,24.1167,86.2333,,
2076,IN,28,Dumjor,,22.6408,88.2203,,
2077,IN,37,Barabanki,,20.4333,82.7167,,
2078,IN,19,Belluru,,12.9911,76.7444,,
2079,IN,19,Honavar,,14.2833,74.45,,
2080,IN,16,Gadhinglaj,,16.2333,74.35,,
2081,IN,16,Bhokardan,,20.2667,75.7667,,
2082,IN,28,Binnaguri,,26.65,88.4667,,
2083,IN,25,Manamadurai,,9.7,78.4833,,
2084,IN,2,Pendurti,,17.8333,83.2,,
2085,IN,34,Jamui,,24.9167,86.2167,,
2086,IN,9,Keshod,,21.3,70.25,,
2087,IN,2,Nizampet,,17.1583,78.0058,,
2088,IN,3,Barpeta,,26.3167,91,,
2089,IN,21,Kendrapara,,20.5,86.4167,,
2090,IN,24,Rawatbhata,,24.9333,75.5833,,
2091,IN,23,Fatehpur,,30.6425,76.0897,,
2092,IN,28,Bakhra,,22.395,88.2092,,
2093,IN,10,Bhagal,,30.0669,76.4194,,
2094,IN,10,Kohra,,30.8833,76.8167,,
2095,IN,23,Boras,,30.5981,76.5317,,
2096,IN,16,Bombay Dharavi,,19.05,72.8667,,
2097,IN,11,Kasauli,,30.8989,76.9647,,
2098,IN,10,Kheri Jasaur,,28.7828,76.8642,,
2099,IN,16,Bombay Mazagaon,,18.9681,72.845,,
2100,IN,2,Akividu,,16.6,81.3833,,
2101,IN,28,Canning,,22.3189,88.6714,,
2102,IN,16,Pirangut,,18.5,73.7,,
2103,IN,34,Rajgir,,25.0333,85.4167,,
2104,IN,19,Gundlupet,,11.8,76.6833,,
2105,IN,24,Karanpura,,29.8419,73.4542,,
2106,IN,21,Burla,,21.5,83.8667,,
2107,IN,21,Patnagarh,,20.7167,83.15,,
2108,IN,25,Turaiyur,,11.1667,78.6167,,
2109,IN,3,Mangaldai,,26.4333,92.0333,,
2110,IN,19,Belgami,,14.4167,75.2333,,
2111,IN,2,Allagadda,,15.1333,78.5167,,
2112,IN,2,Huzurabad,,18.2,79.4167,,
2113,IN,28,Khatra,,22.9833,86.85,,
2114,IN,2,Yellakonda,,17.4392,78.0372,,
2115,IN,9,Antapur,,20.95,73.4167,,
2116,IN,24,Sheoganj,,25.15,73.0667,,
2117,IN,25,Perumanallur,,11.2,77.3667,,
2118,IN,16,Sakol,,18.2833,76.8833,,
2119,IN,36,Kaimganj,,27.5667,79.35,,
2120,IN,28,Kakdwip,,21.8833,88.1833,,
2121,IN,2,Kankipadu,,16.45,80.7833,,
2122,IN,28,Pandua,,23.0833,88.2833,,
2123,IN,35,Dhamnod,,22.2167,75.4667,,
2124,IN,2,Jaggayyapeta,,16.9,80.1,,
2125,IN,19,Kerur,,16.0167,75.5667,,
2126,IN,2,Anakapalle,,17.6833,83.0167,,
2127,IN,2,Ganapavaram,,16.7,81.4667,,
2128,IN,20,Zunheboto,,25.9667,94.5167,,
2129,IN,10,Ladwa,,29.9944,77.0444,,
2130,IN,9,Vasad,,22.45,73.0667,,
2131,IN,39,Pat,,29.9592,78.6206,,
2132,IN,13,Edayar,,10.9333,76.1,,
2133,IN,16,Takwa Budrukh,,18.8,73.6,,
2134,IN,36,Farrukhnagar,,28.7167,77.3833,,
2135,IN,16,Takalghat,,20.9167,78.9,,
2136,IN,2,Patagunta,,13.45,79.2833,,
2137,IN,10,Sorkhi,,29.05,76.1333,,
2138,IN,24,Badhal,,27.2667,75.4333,,
2139,IN,36,Ballia,,28.2,79.3667,,
2140,IN,16,Tasgaon,,17.0333,74.6,,
2141,IN,16,Faizpur,,21.1667,75.85,,
2142,IN,36,Deoria,,26.5047,83.7872,,
2143,IN,11,Nagrota,,32.05,76.0833,,
2144,IN,13,Mala,,10.25,76.2667,,
2145,IN,35,Maheshwar,,22.1833,75.5833,,
2146,IN,37,Rajim,,20.9658,81.8808,,
2147,IN,21,Gunupur,,19.0833,83.8167,,
2148,IN,24,Rajsamand,,25.0667,73.8833,,
2149,IN,2,Undi,,16.6,81.4667,,
2150,IN,35,Pandhurna,,21.6,78.5167,,
2151,IN,16,Rahuri,,19.3833,74.65,,
2152,IN,2,Peddapalli,,18.6167,79.3667,,
2153,IN,23,Beas,,31.5167,75.3044,,
2154,IN,16,Narayangaon,,19.1167,73.9833,,
2155,IN,24,Jasol,,25.8167,72.2167,,
2156,IN,2,Secundurabad,,17.45,78.5,,
2157,IN,18,Jowai,,25.45,92.2,,
2158,IN,23,Golewala,,30.7833,74.7,,
2159,IN,16,Nethersole Dam,,18.85,73.5667,,
2160,IN,10,Beri,,28.7,76.5833,,
2161,IN,24,Harsani,,25.9667,70.7833,,
2162,IN,19,Bantwall,,12.9,75.0333,,
2163,IN,36,Seohara,,29.2167,78.5833,,
2164,IN,25,Kulasekharam,,8.3667,77.3,,
2165,IN,16,Pachora,,20.6667,75.35,,
2166,IN,28,Howrah Salkia,,22.5833,88.35,,
2167,IN,9,Dekawara,,23.35,72.15,,
2168,IN,13,Tripunittura,,9.95,76.35,,
2169,IN,28,Murshidabad,,24.1833,88.2667,,
2170,IN,19,Hebri,,13.4667,74.9833,,
2171,IN,9,Valia,,21.5667,73.1667,,
2172,IN,28,Beldanga,,23.9333,88.25,,
2173,IN,19,Jadgenhalli,,13.05,77.85,,
2174,IN,30,Budh,,27.9,96.5167,,
2175,IN,19,Manipala,,13.35,74.7833,,
2176,IN,35,Rajgarh,,22.6833,74.95,,
2177,IN,10,Ramnagar,,29.4056,76.9736,,
2178,IN,39,Ranikhet,,29.65,79.4167,,
2179,IN,10,Shahzadpur,,30.45,77.0333,,
2180,IN,28,Biswanath,,22.0367,88.0486,,
2181,IN,2,Bhadrachalam,,17.6667,80.8833,,
2182,IN,19,Badami,,15.9167,75.6833,,
2183,IN,23,Chabal,,31.4836,74.7931,,
2184,IN,9,Mogri,,22.5333,72.9333,,
2185,IN,16,Madh,,19.15,72.8333,,
2186,IN,16,Bombay Mahim,,19.0333,72.85,,
2187,IN,26,Kailasahar,,24.3333,92.0167,,
2188,IN,19,Ilkal,,15.9667,76.1333,,
2189,IN,36,Bahraich,,27.5833,81.6,,
2190,IN,2,Penuganchiprolu,,16.9167,80.25,,
2191,IN,28,Rangamati,,26.8167,89.4333,,
2192,IN,11,Rohru,,31.2167,77.75,,
2193,IN,36,Chandauli,,25.2667,83.2667,,
2194,IN,33,Agacaim,,15.4167,73.9,,
2195,IN,7,New Cantonment,,28.6,77.1333,,
2196,IN,24,Baran,,25.1,76.5167,,
2197,IN,25,Sankari Drug,,11.4667,77.8833,,
2198,IN,38,Itkhori,,24.2833,85.1667,,
2199,IN,25,Gandarvakottai,,10.6,79.0167,,
2200,IN,36,Chunar,,25.1333,82.9,,
2201,IN,3,Ginjia,,26.8333,93.25,,
2202,IN,7,Badarpur,,28.5167,77.3333,,
2203,IN,16,Turambhe,,19.0667,73.0167,,
2204,IN,38,Rohini,,24.4833,86.65,,
2205,IN,36,Siyana,,28.6333,78.05,,
2206,IN,16,Mahalaxmi,,18.9833,72.8,,
2207,IN,11,Jeori,,31.2489,77.0944,,
2208,IN,10,Kanina,,28.3333,76.3167,,
2209,IN,2,Albaka,,18.2167,80.6667,,
2210,IN,10,Gorakhpur,,29.45,75.6833,,
2211,IN,39,Khatima,,28.9167,79.9667,,
2212,IN,9,Amroli,,21.3,72.85,,
2213,IN,16,Tumsar,,21.3833,79.7333,,
2214,IN,2,Annaram,,17.0222,78.1797,,
2215,IN,25,Tiruchchendur,,8.4833,78.1167,,
2216,IN,21,Balliguda,,20.2,83.9167,,
2217,IN,3,Udalguri,,26.7667,92.1333,,
2218,IN,33,Velim,,15.15,73.9667,,
2219,IN,16,Sillod,,20.3,75.65,,
2220,IN,13,Konni,,9.2333,76.8667,,
2221,IN,23,Jassowal,,30.8,75.8167,,
2222,IN,25,Madras Rayapuram,,13.1072,80.2953,,
2223,IN,36,Babrala,,28.2667,78.4,,
2224,IN,36,Gajraula,,28.85,78.2333,,
2225,IN,36,Mahoba,,25.2833,79.8667,,
2226,IN,34,Kesariya,,26.3667,84.8667,,
2227,IN,37,Nagar,,23.2667,82.45,,
2228,IN,38,Salukdih,,23.1,85.8333,,
2229,IN,16,Karla,,18.75,73.4833,,
2230,IN,19,Golhalli,,13.1667,77.4,,
2231,IN,36,Sarauli,,28.5,79.1,,
2232,IN,23,Khizrabad,,30.8789,76.6597,,
2233,IN,7,Shakurpur,,28.6833,77.15,,
2234,IN,28,Palta,,22.7833,88.3667,,
2235,IN,25,Chrompet,,12.95,80.1333,,
2236,IN,23,Budhlada,,29.9333,75.5667,,
2237,IN,19,Kollegal,,12.15,77.1167,,
2238,IN,16,Vinchur,,20.1,74.2167,,
2239,IN,2,Dwarapudi,,16.95,81.9333,,
2240,IN,39,Srinagar,,30.2167,78.7833,,
2241,IN,25,Sholinghur,,13.1167,79.4167,,
2242,IN,10,Baras,,29.7333,76.75,,
2243,IN,19,Nelamangala,,13.1022,77.39,,
2244,IN,11,Tira Sujanpur,,31.8333,76.5,,
2245,IN,20,Mokokchung,,26.3333,94.5333,,
2246,IN,24,Daosa,,26.8833,76.3333,,
2247,IN,2,Jogipet,,17.8347,78.0675,,
2248,IN,36,Raipur,,29.5328,77.4178,,
2249,IN,24,Bijainagar,,25.9333,74.6333,,
2250,IN,35,Badnawar,,23.0167,75.2167,,
2251,IN,13,Dharmadam,,11.7833,75.4333,,
2252,IN,36,Sisauli,,29.4167,77.4667,,
2253,IN,37,Janjgir,,22.0167,82.5667,,
2254,IN,19,Channagiri,,14.0333,75.9333,,
2255,IN,16,Khapa,,20.9167,78.95,,
